date,open,close,high,low,volume
2022-03-25,432.6346851125967,449.3096618652344,449.6957899874105,432.1651546735454,106500
2022-03-28,440.4748150872177,433.06097412109375,440.4748150872177,426.72833715023546,73500
2022-03-29,430.4599697303576,442.0409851074219,442.0409851074219,427.3121757097514,73800
2022-03-30,442.6680696098358,448.0276794433594,449.7853782922451,442.55994921242166,90900
2022-03-31,447.8577720068705,417.6803588867188,450.52059389641937,414.3286830688849,177900
2022-04-01,415.8855820501923,439.0723876953125,440.925847930718,414.2452799232196,93300
2022-04-04,447.9195514931181,456.9706115722656,458.11358245048064,439.1063393153361,134400
2022-04-05,460.275976267374,437.9510498046875,461.8205454093133,437.9510498046875,156900
2022-04-06,426.3020094197846,436.7215576171875,439.8415508249473,423.5156537529012,97500
2022-04-07,442.0162667853506,441.9761352539063,445.5162227701002,432.7829601448452,72900
2022-04-08,444.9231173851203,440.5983581542969,444.9231173851203,437.94175831916846,52500
2022-04-11,433.56137460185454,429.6412963867188,438.6522243965557,424.67095430273406,84900
2022-04-12,436.7524045059879,434.5035400390625,444.9848542816693,433.0207663537319,84300
2022-04-13,437.1663842862255,450.5606994628906,450.9005023725827,436.2396542200757,62100
2022-04-14,447.168926480645,451.7037048339844,457.091115638781,447.168926480645,67200
2022-04-18,454.4066873984822,459.9083557128906,464.90961011516566,454.4066873984822,82200
2022-04-19,463.0530960578466,456.7235412597656,463.3589328603597,452.48837747427103,57600
2022-04-20,462.4352668359668,465.3081359863281,467.9832887504541,456.3342838595892,63000
2022-04-21,469.8490357725468,442.5939025878906,469.8490357725468,442.5939025878906,45600
2022-04-22,437.1726032985058,425.7799987792969,442.0472130945747,423.2067727007106,77700
2022-04-25,413.9394407851581,423.6886596679688,425.7027308641261,404.6721396610012,89400
2022-04-26,416.71965163500647,412.1354370117188,429.0420687341821,410.8781802619824,55500
2022-04-27,410.1151572911895,411.6627807617188,418.8850990416792,405.3239501027493,48000
2022-04-28,418.1035706262415,425.0540466308594,431.2167963653087,407.14344827547,48600
2022-04-29,428.5571205956086,422.156494140625,434.1175018558769,420.8559948126618,62400
2022-05-02,419.30523730465495,419.3515625,422.7310392353844,405.22512123108817,70800
2022-05-03,426.1166746406582,426.3390808105469,430.38580405964007,421.785750018064,68100
2022-05-04,432.7984078891101,440.16900634765625,442.2850325804841,416.809230624838,96900
2022-05-05,418.7893559697934,433.7560424804688,434.5592105090262,418.7893559697934,71400
2022-05-06,434.0186667858042,439.8385314941406,439.8385314941406,418.9963494071724,66300
2022-05-09,428.4582439158603,400.6532287597656,428.4582439158603,398.4939599786512,85200
