open,close,high,low,date
529.28,531.36,531.52,529.07,2024-05-21
530.65,529.83,531.38,527.6,2024-05-22
532.96,525.96,533.07,524.72,2024-05-23
527.85,529.44,530.27,526.881,2024-05-24
530.27,529.81,530.51,527.11,2024-05-28
525.68,526.1,527.31,525.37,2024-05-29
524.52,522.61,525.2,521.33,2024-05-30
523.59,527.37,527.5,518.36,2024-05-31
529.02,527.8,529.31,522.6,2024-06-03
526.46,528.39,529.15,524.96,2024-06-04
530.77,534.67,534.69,528.7254,2024-06-05
534.98,534.66,535.42,532.68,2024-06-06
533.66,534.01,536.89,532.535,2024-06-07
